Symbol
CYP4X1
DNTTIP1
TNFRSF9
DZIP3
CLIC4
MMD
CYP2B7P
TMOD1
C3
IRAK2
SERPINA5
LAMA3
UBD
SLC9A7
PMAIP1
KLHL5
GBP4
LAMC2
ITGAV
CLEC2D
SLC6A12
LOC102725231
ITGB8
GPX2
KLHDC7B-DT
IL23A
NOXO1
SYT7
LOC105373733
LOC102724608
GRM5
CYP4Z1
NAV2
ICAM1
PI3
TNFAIP3
TRERF1
DOC2B
CCL2
NFKBIA
ETS1
PPM1H
KLHDC7B
WFDC3
TNF
ACTR8
SERPINB7
SLC2A6
GRM5-AS1
TRAF1
EGOT
CDKN2A
MSANTD3-TMEFF1
CGAS
CXCL10
CHST2
ARHGAP31
SEMA3C
CXCL11
LOC105377663
IL36B
PSTPIP2
LOC107986959
PRRX2
LOC112268127
PBX4
TXNRD1
BIRC3
TNFAIP2
IL17RB
LIPM
MMP20-AS1
TYMP
CX3CL1
PDZK1IP1
LTB
CXCL1
ZSWIM4
TLR2
LAYN
COL28A1
PLAU
LOC105373734
TNFAIP8
ABCA13
SPX
